what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1492476073318
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1492476073318
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1492476073318
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1492476073318
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1492476073336
os,sysinfo,,,"linux",1492476073344
arch,sysinfo,,,"x86_64",1492476073345
ws,sysinfo,,,"gtk",1492476073345
locale,sysinfo,,,"en_US",1492476073345
processors,sysinfo,,,"2",1492476073345
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1492476073345
java.runtime.version,sysinfo,,,"1.7.0_121-b00",1492476073345
java.specification.name,sysinfo,,,"Java Platform API Specification",1492476073345
java.specification.vendor,sysinfo,,,"Oracle Corporation",1492476073345
java.specification.version,sysinfo,,,"1.7",1492476073345
java.vendor,sysinfo,,,"Oracle Corporation",1492476073345
java.version,sysinfo,,,"1.7.0_121",1492476073345
java.vm.info,sysinfo,,,"mixed mode",1492476073345
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1492476073345
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1492476073345
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1492476073345
java.vm.specification.version,sysinfo,,,"1.7",1492476073345
java.vm.vendor,sysinfo,,,"Oracle Corporation",1492476073346
java.vm.version,sysinfo,,,"24.121-b00",1492476073346
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1492476074386
